Province_State,Admin2,Lat,Long_,Date,Confirmed,Deaths,Daily_Confirmed,Daily_Deaths
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-23,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-23,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-24,1,0,0.0,0.0
California,Humboldt,40.69923009,-123.876044,2020-02-24,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-24,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-24,1,0,0.0,0.0
California,Sacramento,38.45106826,-121.34253740000001,2020-02-24,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-24,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-24,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-24,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-24,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-24,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-24,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-25,1,0,0.0,0.0
California,Humboldt,40.69923009,-123.876044,2020-02-25,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-25,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-25,1,0,0.0,0.0
California,Sacramento,38.45106826,-121.34253740000001,2020-02-25,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-25,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-25,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-25,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-25,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-25,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-25,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-26,1,0,0.0,0.0
California,Humboldt,40.69923009,-123.876044,2020-02-26,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-26,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-26,1,0,0.0,0.0
California,Sacramento,38.45106826,-121.34253740000001,2020-02-26,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-26,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-26,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-26,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-26,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-26,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-26,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-27,1,0,0.0,0.0
California,Humboldt,40.69923009,-123.876044,2020-02-27,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-27,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-27,1,0,0.0,0.0
California,Sacramento,38.45106826,-121.34253740000001,2020-02-27,2,0,1.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-27,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-27,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-27,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-27,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-27,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-27,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-28,1,0,0.0,0.0
California,Humboldt,40.69923009,-123.876044,2020-02-28,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-28,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-28,1,0,0.0,0.0
California,Sacramento,38.45106826,-121.34253740000001,2020-02-28,2,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-28,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-28,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-28,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-28,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-28,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-28,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-29,1,0,0.0,0.0
California,Humboldt,40.69923009,-123.876044,2020-02-29,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-29,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-29,1,0,0.0,0.0
California,Sacramento,38.45106826,-121.34253740000001,2020-02-29,2,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-29,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-29,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-29,3,0,1.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-29,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-29,1,0,0.0,0.0
Oregon,Washington,45.55972701,-123.0955257,2020-02-29,1,0,1.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-29,6,1,5.0,1.0
Washington,Snohomish,48.04615983,-121.7170703,2020-02-29,1,0,1.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-03-01,1,0,0.0,0.0
California,Humboldt,40.69923009,-123.876044,2020-03-01,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-03-01,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-03-01,1,0,0.0,0.0
